,Unnamed: 0,product_id,product_name.1,aisle_id,department_id,nid,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,group
10,10,28946,Yogurt Tubes Blueberry,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
11,11,29387,Yo Toddler Organic Strawberry Banana Whole Milk Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
12,12,30219,Lactose Free Blueberry Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
13,13,30442,Low Fat Vanilla Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
14,14,33719,French Vanilla Yogurt Vanilla,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
15,15,34525,Organic Vanilla Whole Milk Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
16,16,36869,O'Soy Smooth & Creamy Vanilla Organic Soy Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
17,17,37388,Cream Top Blueberry Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
18,18,37594,French Vanilla Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
19,19,37718,Blueberry Whole Milk Yogurt Pouch,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
20,20,38544,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
21,21,43654,Whole Milk Greek Blended Vanilla Bean Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
22,22,44008,Organic Greek Whole Milk Blended Vanilla Bean Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
23,23,44156,Strawberry on the Bottom Nonfat Greek Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
24,24,44949,Organic Lowfat French Vanilla Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
25,25,47683,Vanilla Light & Fit Nonfat Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,88,1.2g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,12.35 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g,5
26,26,6187,Raisin Bran Cereal,121,14,1262,"Bread, enriched, raisin",100 g,274,4.4g,1.1g,0,347.00 mg,14.6 mg,106.00 mcg,72.00 mcg,3.466 mg,0.387 mg,0.398 mg,0.339 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,44.00 mcg,0,0.00 mcg,0.069 mg,0.1 mg,0.00 IU,0.28 mg,0.28 mg,1.7 mcg,66.00 mg,0.198 mg,2.90 mg,26.00 mg,0.501 mg,109.00 mg,227.00 mg,20.0 mcg,0.72 mg,7.90 g,0.267 g,0.362 g,0.351 g,0.152 g,2.355 g,0.269 g,0.167 g,0,0.287 g,0.516 g,0.200 g,0.128 g,0.361 g,0.828 g,0.357 g,0.222 g,0.083 g,0.204 g,0.329 g,52.30 g,4.3 g,5.68 g,0,0,0,0,0,0,4.40 g,1.081 g,2.294 g,0.679 g,0.00 mg,0.0 g,1.80 g,0.00 mg,0.00 mg,33.60 g,3
27,27,6361,Soft Potato Bread,112,3,564,"Bread, potato",100 g,266,3.1g,,0,375.00 mg,18.4 mg,126.00 mcg,33.00 mcg,1.250 mg,0.817 mg,0.106 mg,0.188 mg,89.00 IU,24.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,17.00 mcg,0,0.15 mcg,0.232 mg,0.0 mg,2.00 IU,0.47 mg,0.47 mg,6.8 mcg,188.00 mg,0.094 mg,2.25 mg,28.00 mg,0.253 mg,369.00 mg,718.00 mg,9.5 mcg,1.44 mg,12.50 g,0.243 g,0.265 g,0.533 g,0.086 g,1.352 g,0.204 g,0.143 g,0,0.268 g,0.440 g,0.311 g,0.112 g,0.285 g,0.479 g,0.275 g,0.224 g,0.081 g,0.213 g,0.305 g,47.07 g,6.3 g,9.38 g,0,0,0,0,0,0,3.13 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,3.76 g,0.00 mg,0.00 mg,33.55 g,1
28,28,16920,Country Potato Bread,112,3,564,"Bread, potato",100 g,266,3.1g,,0,375.00 mg,18.4 mg,126.00 mcg,33.00 mcg,1.250 mg,0.817 mg,0.106 mg,0.188 mg,89.00 IU,24.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,17.00 mcg,0,0.15 mcg,0.232 mg,0.0 mg,2.00 IU,0.47 mg,0.47 mg,6.8 mcg,188.00 mg,0.094 mg,2.25 mg,28.00 mg,0.253 mg,369.00 mg,718.00 mg,9.5 mcg,1.44 mg,12.50 g,0.243 g,0.265 g,0.533 g,0.086 g,1.352 g,0.204 g,0.143 g,0,0.268 g,0.440 g,0.311 g,0.112 g,0.285 g,0.479 g,0.275 g,0.224 g,0.081 g,0.213 g,0.305 g,47.07 g,6.3 g,9.38 g,0,0,0,0,0,0,3.13 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,3.76 g,0.00 mg,0.00 mg,33.55 g,1
29,29,12863,"Bread, Double Fiber",112,3,564,"Bread, potato",100 g,266,3.1g,,0,375.00 mg,18.4 mg,126.00 mcg,33.00 mcg,1.250 mg,0.817 mg,0.106 mg,0.188 mg,89.00 IU,24.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,17.00 mcg,0,0.15 mcg,0.232 mg,0.0 mg,2.00 IU,0.47 mg,0.47 mg,6.8 mcg,188.00 mg,0.094 mg,2.25 mg,28.00 mg,0.253 mg,369.00 mg,718.00 mg,9.5 mcg,1.44 mg,12.50 g,0.243 g,0.265 g,0.533 g,0.086 g,1.352 g,0.204 g,0.143 g,0,0.268 g,0.440 g,0.311 g,0.112 g,0.285 g,0.479 g,0.275 g,0.224 g,0.081 g,0.213 g,0.305 g,47.07 g,6.3 g,9.38 g,0,0,0,0,0,0,3.13 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,3.76 g,0.00 mg,0.00 mg,33.55 g,1
30,30,7116,Large Enriched Bread,112,3,828,"Bread, enriched, white, pita",100 g,275,1.2g,0.2g,0,536.00 mg,14.6 mg,107.00 mcg,83.00 mcg,4.632 mg,0.397 mg,0.327 mg,0.599 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,53.00 mcg,0,0.00 mcg,0.034 mg,0.0 mg,0.00 IU,0.30 mg,0.30 mg,0.2 mcg,86.00 mg,0.168 mg,2.62 mg,26.00 mg,0.481 mg,97.00 mg,120.00 mg,27.1 mcg,0.84 mg,9.10 g,0.302 g,0.329 g,0.408 g,0.197 g,3.033 g,0.319 g,0.195 g,0,0.349 g,0.634 g,0.219 g,0.160 g,0.446 g,1.012 g,0.438 g,0.257 g,0.105 g,0.257 g,0.394 g,55.70 g,2.2 g,1.30 g,0,0,0,0,0,0,1.20 g,0.166 g,0.105 g,0.535 g,0.00 mg,0.0 g,1.90 g,0.00 mg,0.00 mg,32.10 g,3
31,31,13517,Whole Wheat Bread,112,3,1188,"Bread, whole-wheat, pita",100 g,262,1.7g,0.1g,0,527.00 mg,26.5 mg,35.00 mcg,0.00 mcg,2.840 mg,0.831 mg,0.080 mg,0.339 mg,6.00 IU,0.00 mcg,0.00 mcg,4.00 mcg,0.00 mcg,53.00 mcg,0,0.00 mcg,0.265 mg,0.0 mg,0.00 IU,0.61 mg,0.61 mg,1.4 mcg,15.00 mg,0.290 mg,3.06 mg,69.00 mg,1.740 mg,180.00 mg,170.00 mg,44.0 mcg,1.52 mg,9.80 g,0.343 g,0.455 g,0.494 g,0.228 g,3.153 g,0.394 g,0.226 g,0,0.367 g,0.671 g,0.265 g,0.153 g,0.470 g,1.046 g,0.469 g,0.282 g,0.149 g,0.292 g,0.441 g,55.89 g,6.1 g,2.87 g,0,0,0,0,0,0,1.71 g,0.147 g,0.247 g,0.747 g,0.00 mg,0.0 g,2.00 g,0.00 mg,0.00 mg,30.60 g,3
32,32,21791,Mini Whole Wheat Pita Bread,128,3,1188,"Bread, whole-wheat, pita",100 g,262,1.7g,0.1g,0,527.00 mg,26.5 mg,35.00 mcg,0.00 mcg,2.840 mg,0.831 mg,0.080 mg,0.339 mg,6.00 IU,0.00 mcg,0.00 mcg,4.00 mcg,0.00 mcg,53.00 mcg,0,0.00 mcg,0.265 mg,0.0 mg,0.00 IU,0.61 mg,0.61 mg,1.4 mcg,15.00 mg,0.290 mg,3.06 mg,69.00 mg,1.740 mg,180.00 mg,170.00 mg,44.0 mcg,1.52 mg,9.80 g,0.343 g,0.455 g,0.494 g,0.228 g,3.153 g,0.394 g,0.226 g,0,0.367 g,0.671 g,0.265 g,0.153 g,0.470 g,1.046 g,0.469 g,0.282 g,0.149 g,0.292 g,0.441 g,55.89 g,6.1 g,2.87 g,0,0,0,0,0,0,1.71 g,0.147 g,0.247 g,0.747 g,0.00 mg,0.0 g,2.00 g,0.00 mg,0.00 mg,30.60 g,3
33,33,40334,Organic White Pita Bread,128,3,1188,"Bread, whole-wheat, pita",100 g,262,1.7g,0.1g,0,527.00 mg,26.5 mg,35.00 mcg,0.00 mcg,2.840 mg,0.831 mg,0.080 mg,0.339 mg,6.00 IU,0.00 mcg,0.00 mcg,4.00 mcg,0.00 mcg,53.00 mcg,0,0.00 mcg,0.265 mg,0.0 mg,0.00 IU,0.61 mg,0.61 mg,1.4 mcg,15.00 mg,0.290 mg,3.06 mg,69.00 mg,1.740 mg,180.00 mg,170.00 mg,44.0 mcg,1.52 mg,9.80 g,0.343 g,0.455 g,0.494 g,0.228 g,3.153 g,0.394 g,0.226 g,0,0.367 g,0.671 g,0.265 g,0.153 g,0.470 g,1.046 g,0.469 g,0.282 g,0.149 g,0.292 g,0.441 g,55.89 g,6.1 g,2.87 g,0,0,0,0,0,0,1.71 g,0.147 g,0.247 g,0.747 g,0.00 mg,0.0 g,2.00 g,0.00 mg,0.00 mg,30.60 g,3
34,34,43073,Whole Wheat Pita Bread,128,3,1188,"Bread, whole-wheat, pita",100 g,262,1.7g,0.1g,0,527.00 mg,26.5 mg,35.00 mcg,0.00 mcg,2.840 mg,0.831 mg,0.080 mg,0.339 mg,6.00 IU,0.00 mcg,0.00 mcg,4.00 mcg,0.00 mcg,53.00 mcg,0,0.00 mcg,0.265 mg,0.0 mg,0.00 IU,0.61 mg,0.61 mg,1.4 mcg,15.00 mg,0.290 mg,3.06 mg,69.00 mg,1.740 mg,180.00 mg,170.00 mg,44.0 mcg,1.52 mg,9.80 g,0.343 g,0.455 g,0.494 g,0.228 g,3.153 g,0.394 g,0.226 g,0,0.367 g,0.671 g,0.265 g,0.153 g,0.470 g,1.046 g,0.469 g,0.282 g,0.149 g,0.292 g,0.441 g,55.89 g,6.1 g,2.87 g,0,0,0,0,0,0,1.71 g,0.147 g,0.247 g,0.747 g,0.00 mg,0.0 g,2.00 g,0.00 mg,0.00 mg,30.60 g,3
35,35,14146,Sliced Wheat Bread,112,3,63,"Bread, toasted, wheat",100 g,313,4.3g,1g,0,601.00 mg,22.1 mg,86.00 mcg,20.00 mcg,6.250 mg,0.456 mg,0.382 mg,0.439 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,50.00 mcg,0,0.00 mcg,0.153 mg,0.2 mg,0.00 IU,0.24 mg,0.24 mg,5.7 mcg,165.00 mg,0.198 mg,4.09 mg,59.00 mg,1.377 mg,188.00 mg,223.00 mg,33.4 mcg,1.47 mg,12.96 g,0.245 g,0.311 g,0.348 g,0.154 g,2.060 g,0.262 g,0.150 g,0,0.258 g,0.461 g,0.215 g,0.105 g,0.315 g,0.682 g,0.310 g,0.299 g,0.092 g,0.165 g,0.310 g,55.77 g,4.7 g,6.42 g,0,0,0,0,0,0,4.27 g,0.989 g,1.019 g,1.720 g,0.00 mg,0.0 g,2.77 g,0.00 mg,0.00 mg,24.23 g,3
36,36,24125,Olive Bread,112,3,63,"Bread, toasted, wheat",100 g,313,4.3g,1g,0,601.00 mg,22.1 mg,86.00 mcg,20.00 mcg,6.250 mg,0.456 mg,0.382 mg,0.439 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,50.00 mcg,0,0.00 mcg,0.153 mg,0.2 mg,0.00 IU,0.24 mg,0.24 mg,5.7 mcg,165.00 mg,0.198 mg,4.09 mg,59.00 mg,1.377 mg,188.00 mg,223.00 mg,33.4 mcg,1.47 mg,12.96 g,0.245 g,0.311 g,0.348 g,0.154 g,2.060 g,0.262 g,0.150 g,0,0.258 g,0.461 g,0.215 g,0.105 g,0.315 g,0.682 g,0.310 g,0.299 g,0.092 g,0.165 g,0.310 g,55.77 g,4.7 g,6.42 g,0,0,0,0,0,0,4.27 g,0.989 g,1.019 g,1.720 g,0.00 mg,0.0 g,2.77 g,0.00 mg,0.00 mg,24.23 g,3
37,37,36717,Double Fiber Bread,112,3,63,"Bread, toasted, wheat",100 g,313,4.3g,1g,0,601.00 mg,22.1 mg,86.00 mcg,20.00 mcg,6.250 mg,0.456 mg,0.382 mg,0.439 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,50.00 mcg,0,0.00 mcg,0.153 mg,0.2 mg,0.00 IU,0.24 mg,0.24 mg,5.7 mcg,165.00 mg,0.198 mg,4.09 mg,59.00 mg,1.377 mg,188.00 mg,223.00 mg,33.4 mcg,1.47 mg,12.96 g,0.245 g,0.311 g,0.348 g,0.154 g,2.060 g,0.262 g,0.150 g,0,0.258 g,0.461 g,0.215 g,0.105 g,0.315 g,0.682 g,0.310 g,0.299 g,0.092 g,0.165 g,0.310 g,55.77 g,4.7 g,6.42 g,0,0,0,0,0,0,4.27 g,0.989 g,1.019 g,1.720 g,0.00 mg,0.0 g,2.77 g,0.00 mg,0.00 mg,24.23 g,3
