product_id,product_name,aisle_id,department_id,nid
444,Special Recipe Italian Bread,112,3,2111
446,Blueberry Pomegranate Acaí Cultured Goat Milk Kefir,120,16,3838
459,Honey Vanilla Greek Yogurt,120,16,1056
468,Kabocha Squash,83,4,1713
476,Chub Mackerel,95,15,3500
484,Plain Greek Goat Yogurt,120,16,1766
486,Lowfat Raspberry Kefir Probiotic Cultured Milk Smoothie,120,16,2242
494,Yellow Cherry Tomato,83,4,799
510,Protein Blend Honey Oats & Seeds Cereal,121,14,5499
511,Lecithin Granules Non-GMO,47,11,4574
515,Organic Lowfat Pomegranate Acai Kefir Probiotic Cultured Milk Smoothie,120,16,6852
550,"Granola, Veritas, Organic",57,14,2001
557,Red Seedless Grapes Imported,24,4,6350
563,Pure Moringa Vegetable Powder,47,11,568
566,Organic Thin Sliced 100% Whole Wheat Bread,112,3,4483
581,Garnet Sweet Potato (Yam),83,4,1339
584,Organic Blueberry Pomegranate Whole Milk Yogurt,120,16,1144
588,Special K Original Cereal,121,14,1255
590,Almonds Roasted and Salted,117,19,3049
595,Injera Flat Bread,128,3,1713
596,Dailyfoods Vitamin D-3 2000 IU,47,11,6615
601,Organic Crunchy Slaw Americana Salad,123,4,3559
611,Uncured Hard Salami,96,20,1945
619,Spanish Peanuts,117,19,515
620,Norwegian Salmon Oil Omega-3s EPA & DHA Dietary Supplement Soft Gels 1000 mg,47,11,6850
633,Coconut Milk Creamer Barista Style Original,91,16,1929
637,Multigrain Peanut Butter Cereal,121,14,6779
645,"Prenatal One, Tablets",47,11,5246
653,"Flax, Oat Bran & Whole Wheat Flour Tortillas",128,3,3876
656,Biotin Super Strength 7500 mcg Tablets,47,11,6461
660,Foldit Flatbreads Artisan Rosemary & Olive Oil,128,3,6241
666,Whole Wheat Loaves,112,3,5305
670,"Coconut Drink, Vanilla",91,16,261
691,Organic Promise Strawberry Fields Cereal,121,14,799
692,Skirt Steak,122,12,515
694,Greek & Chia Blood Orange Yogurt,120,16,6423
702,Cheese Spread Port Wine,2,16,697
705,Fajita Flour Tortillas,128,3,2475
715,Vitamin C Formula 1000 mg Vegetarian Tablets,47,11,4859
728,"Wraps, Turmeric",128,3,1154
734,Salame All Natural Uncured Pepperoni,96,20,6495
737,100% Whole Wheat Flour Burrito Tortillas,128,3,4914
738,Almond Breeze Unsweetened Almond Coconut Milk Blend,91,16,2322
740,Celery Heart,123,4,220
748,Romaine,123,4,672
757,Premium Deli Hard Salami,96,20,2008
775,Organic Dried Cranberries,117,19,3946
780,Breadstick,112,3,515
783,Mega Mag,47,11,672
784,Organic Vegetable Tray,83,4,132
793,Organic Spinach Quinoa Powermeal Bowl,123,4,7088
805,Vitamin D3 1000 I.U Vegetable Capsules,47,11,6577
812,Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free,57,14,7202
814,Trix Cotton Candy Yogurt,120,16,1145
827,Albacore Chunk White Tuna in Water,95,15,1883
830,Skinny Wheat Buns,112,3,1365
840,Coco Joe Pumpkin Seeds,117,19,1255
857,Grilled Asparagus,123,4,530
861,Every Woman Multivitamin,47,11,2960
862,Unsweetened Original Organic Soy Non-Dairy Beverage,91,16,4666
863,ArtiHearts Fresh Grilled Artichokes,123,4,3433
876,Vitamin B6 100 mg,47,11,6615
877,Ultra-Filtered Whole Milk,84,16,3505
882,Fingerling Potato,83,4,515
889,Oatnut Bread,112,3,495
894,Greek 100 Calories Vanilla Fat Free Yogurt,120,16,1231
895,YoKids Squeeze Organic Blueberry Blue Yogurt,120,16,1145
905,Fish Oil with Vitamin D 1000mg,47,11,3962
906,Chamomilla 30 C,47,11,112
909,Calcium Magnesium Citrate Plus Vitamin D3 Natural Mixed Berry Flavor,47,11,6905
918,Light Brie Soft-Ripened Cheese Mini-Wheel,2,16,7803
920,Coconut Yogurt,120,16,627
943,Magnesium Citrate Caplets,47,11,2729
946,Seasonal Oikos Greek Yogurt,120,16,3650
951,Vitamin D3 Cholecalciferol Softgels,47,11,8213
953,Plain Fat Free Yogurt,120,16,130
958,Almond Extract,47,11,475
978,Mallow Oats Cereals,121,14,1690
981,Garlic Naan,128,3,1129
982,Aged Gouda Cheese,2,16,567
990,Diced Pancetta,96,20,489
1001,Unseeded Plain Rye,112,3,3481
1021,Ready to Eat Organic Flax Chia Blend,117,19,5873
1027,Organic Old World Flatbreads Pizza Crust,128,3,4932
1028,Organic Oat Bread,112,3,199
1043,Organic Broccolini,83,4,532
1054,Greek Kefir Honey,120,16,2204
1064,Greek Corner Blackberry & Raspberry Lowfat Yogurt,120,16,1144
1069,100% Oatnut Bread,112,3,1854
1073,Carving Board Oven Roasted Turkey,96,20,5385
1074,German Bologna,96,20,515
1080,"Salad, Cobb",123,4,466
1087,Sunrise Crunchy Cinnamon Cereal,121,14,3316
1094,Kids Strawberry Yogurt Tubes,120,16,1056
1103,Hickory Smoked Turkey Breast,96,20,762
1104,Plain Yogurt,120,16,627
1115,Turkey Bologna,96,20,621
1119,Street Tacos,42,1,1312
1120,All American Flame Grilled Veggie Burgers,42,1,7285
1126,Estilo Casero Tostadas,128,3,511
1157,Wheat Sandwich Bread,112,3,697
1174,Organic Flax Oil,47,11,4004
1177,Italian Style Seasoned Bread Crumbs,112,3,2687
1180,Mesquite Uncured Salame,96,20,208
1181,Mini Watermelon,24,4,452
1183,Organic Black Seedless Grapes,24,4,6350
1192,100% Organic Simple Seed Mix,117,19,799
1199,YoTot Organic Raspberry Pear Yogurt,120,16,1144
1216,Dairy Free Gluten Free Mushroom & Roasted Garlic Pizza,42,1,4878
1219,Grapes,24,4,672
1225,ChlorOxygen Alcohol Free Chlorophyll Concentrate Softgels,47,11,7066
1234,Cream Top Smooth & Creamy Plain Yogurt,120,16,4062
1238,Smoked Sea Salt & Rosemary Goat Cheese & Olive Oil Infusion,2,16,3838
1244,Organic Orange Bell Pepper,83,4,801
1246,Cheese,2,16,672
1257,Organic Amaranth Flakes,121,14,1142
1264,Pitted Prunes with Orange Essence,117,19,1299
1282,Green Onion,83,4,515
1284,Organic Dried Cranberries Apple Sweetened,117,19,4424
1301,"Cereal, Panda Puffs, Peanut Butter",121,14,3666
1306,Raisin Bran Whole Grain Wheat & Bran Cereal,121,14,2572
1316,Southern Sweet Potato Blend,42,1,799
1321,Plain Grade A  0% Fat Greek Yogurt,120,16,4289
1323,Vanilla Bean Natural Lowfat Yogurt,120,16,130
1332,Gluten-Free Vegetarian Bean & Cheese Burrito,42,1,3421
1337,"Yogurt, Sheep Milk, Strawberry",120,16,1574
1346,Freshly Crumbled Gorgonzola Cheese,2,16,2000
1347,Organic Raspberry Yogurt,120,16,1144
1354,Honey Roasted Peanuts,117,19,602
1358,Phillips Gourmet Portabella Mushroom,123,4,4374
1365,Mixed Bell Peppers,123,4,335
1368,Pink Lady Apple,24,4,2039
1374,Organic Hass Avocado Bag,83,4,4419
1377,Organic Lactose Free Strawberry Yogurt,120,16,3031
1385,Yogurt Stellar Strawberry,120,16,1056
1394,Uncured Pepperoni Slices,96,20,335
1396,Sweet Potato (Yam),83,4,1339
1397,Wellness Formula Herbal Defense Complex,47,11,927
1402,Plain Soymilk Creamer,91,16,232
1408,Mini Cucumbers,123,4,1260
1409,Dairy Free Coconut Milk Passionate Mango Yogurt Alternative,120,16,3031
1422,Apple Quinoa Cinnamon Oatmeal Fruit Squeeze,121,14,6421
1423,100% Lactose Free Whole Calcium Enriched Milk,91,16,7666
1430,Dry Roasted  Unsalted Peanuts,117,19,2726
1432,Organic Strawberry Yogurt,120,16,1056
1433,Jumbo Lump Crab Meat,95,15,762
1441,Quinoa Cereal Honey Almond,121,14,3857
1445,Light Pomegranate/Blueberry,120,16,2392
1447,Organic Baby Lettuces,123,4,2710
1451,Oops! All Berries Cereal,121,14,1965
1463,Organic Milk,84,16,615
1464,Special k Protein Cereal,121,14,3229
1468,Organic Peeled & Cooked Beets,123,4,2444
1477,Wild Mushroom Cauliflower Hempseed Burgers,42,1,5365
1481,Santa Fe Style Salad Cafe Bowl,123,4,4781
1488,Dried and Unsulfured Organic Pineapple,117,19,3857
1506,Sliced Baby Bellas Mushrooms,123,4,1995
1508,Simply Delicious Gluten-Free Blissfully Berry Cereal,121,14,3421
1511,2% Reduced Fat DHA Omega-3 Reduced Fat Milk,84,16,7262
1514,Cracklin' Oat Bran Cereal,121,14,5697
1539,Cauliflower head,83,4,1244
1541,Jumbo Grade A Eggs,86,16,4002
1559,Cherry Pomegranate Greek Yogurt,120,16,1144
1565,Klondike Petite Potatoes,123,4,5076
1577,Unsweetened Whole Milk Peach Greek Yogurt,120,16,1144
1578,Apple Jacks Cereal,121,14,146
1582,Turkey Pepperoni Slices,96,20,335
1589,100% Organic Hemp Seed Oil,47,11,3293
1606,"Yogurt, Coconut Non-Dairy, Low Fat, Blueberry",120,16,1223
1607,English Peas Pack,123,4,515
1616,Simply Granola,57,14,175
1621,Organic Vitality Snack Chia Squeeze Strawberry Banana,117,19,5610
1625,Wild Alaskan Fish Oil 1000mg,47,11,3396
1635,Whole Cashews,117,19,396
1636,Alive! Once Daily Multi Vitamin tablet,47,11,862
1637,Turmeric Standardized 95% Curcuminoids Tablets - 60 CT,47,11,8213
1640,Beyond Beef Fiesty Crumble,42,1,1681
1675,Thera Zinc Spray,47,11,1663
1683,Toddler Chewable Children's Tablets Multivitamin Supplement,47,11,8135
1689,15 Grain Whole Grain Bread,112,3,2937
1701,Blarney Castle Smooth & Mild Gouda Style Cheese,2,16,3006
1702,Original Coconut Milk,91,16,615
1713,100% Plant Protein Beastley Sliders,42,1,4747
1723,Lowfat 2% Milkfat Russian Yogurt,120,16,2678
1728,Organic Whole Wheat Stoneground Flakes Cereal,121,14,5305
1729,2% Lactose Free Milk,84,16,4199
1739,Anaheim Peppers,83,4,620
1754,Folic Acid 400 Mcg,47,11,582
1760,Whole Wheat 100% Stone Ground Bread,112,3,3314
1783,Organic French Vanilla Almond Granola,57,14,938
1784,NUTrition Protein Mix Blueberry Nut,117,19,5493
1794,Vanilla  Almond Milk,91,16,938
1802,Vitamin C-500 mg Tablets,47,11,7238
1811,Soft Honey Whole Wheat Bread,112,3,2481
1813,Sodel Alm Mlk Wlnut 48,91,16,238
1844,Tropical Pineapple Yogurt Alternative,120,16,130
1848,Rockin' Raspberry 3.1 Fl Oz,120,16,414
1862,Tuna Fillets in Olive Oil,95,15,3628
1879,Seedlander Crispbreads,128,3,3489
1890,Organic Large Grade A Eggs,86,16,6320
1893,Chamomile Extract,47,11,220
1897,Yukon Gold Potatoes Bag,83,4,2533
1899,Mini Carrots Bunch,83,4,584
1908,Greek Blended Cherry Fat Free Yogurt,120,16,2242
1915,Honey Pear Yogurt,120,16,627
1925,Root Veggie Burger,42,1,1687
1929,"Zucchini Squash, Baby Courgette",123,4,3351
1938,Beef Stew Meat,122,12,335
1940,Organic 2% Reduced Fat Milk,84,16,7164
1954,Goat Cheese Pyramid,2,16,602
1956,Scallions,83,4,517
1960,Nonfat Light & Fit Blueberry Yogurt,120,16,1145
1962,Chocolate Soy,91,16,515
1966,Calcium 600mg + D3 Tablets,47,11,8489
2000,Premium White Chicken Breast Chunks,95,15,697
2002,"The \""World's Best\"" Veggie Burger",42,1,4407
2004,Calcium Gummies,47,11,620
2014,Low Fat Kefir Cultured Milk Smoothie Lowfat Probiotic Blueberry,120,16,8416
2016,Minzano Tomato,83,4,489
2017,Organic Cherry Tomatoes On The Vine,83,4,1672
2027,Whips! Peaches 'n Cream Flavored Lowfat Yogurt Mousse,120,16,2242
2029,Swirl Thick Slice Brown Sugar Cinnamon Bread,112,3,3388
2036,Mediterranean Scramble,86,16,656
2051,Sunrise Crunchy Honey Cereal,121,14,3316
2055,Baby Cut Carrots Snack Size Bags,123,4,2219
2058,4# Bag Navel Oranges,123,4,1879
2059,Biotin 1000 Mcg,47,11,326
2061,Vanilla Maple Supershake,84,16,938
2062,Good Life Organic Cherry Tomatoes,83,4,1539
2068,Greek Strawberry Yogurt,120,16,1056
2073,Tuna Salad with Crackers Snack,95,15,121
2076,Honey Smoked Sliced Turkey Breast,96,20,762
2077,Light Frosted Amazon Flakes,121,14,728
2090,"Milk, Goat",84,16,589
2108,Pastured Eggs,86,16,1620
2110,Green Bananas,24,4,613
2121,Cheese Food Alternative American Flavor Slices,91,16,1777
2123,Sensations Lemon and Pepper Seasoned Tuna Medley with Crackers,95,15,5208
2132,Rosemary Olive Oil Bread,112,3,335
2135,5-Lettuce Mix,123,4,1255
2137,Granola Low Fat with Raisins,57,14,3808
2145,Orange Flavor Vitamin C Gummies,47,11,3051
2153,Sunflower Seed Bread,112,3,3101
2170,Original Strawberry and Mixed Berry Variety Pack Low Fat Yogurt,120,16,3031
2174,Free Range Organic Brown Large Egg,86,16,2364
2178,Natural Deli Slices Gouda Cheese,2,16,3522
2179,Crispy Mango Fruit,117,19,535
2183,Meatless and Soy-Free Meatballs,42,1,3298
2187,Strawberry Milk,84,16,615
2189,Banana Low-Fat Greek Yogurt,120,16,2242
2191,Cosmic Maple Masala Pecans,117,19,4424
2208,Granola With Raisins,121,14,2219
2210,Large Brown Grade AA Eggs,86,16,2364
2212,Complete Multivitamin Supplement Tablets for Children,47,11,5246
2213,Multi-Vitamin & Mineral Sour Gummy Bears,47,11,4964
2223,Tangerine Flavor Slippery Elm Throat Lozenges with Rose Hips and Vitamin C,47,11,3858
2231,Whole Wheat Pita Pocket Bread 6 ct,128,3,1188
2234,Lunchables Ham & Cheddar with Cracker Stackers,96,20,2929
2238,Vitamin C Super Orange Dietary Supplement,47,11,7238
2243,Mango Peach Goat Milk Yogurt Baby Food,120,16,1231
2253,Craisins Dried Cranberries Cherry Juice Infused,117,19,4509
2274,Mammoth Pecan Halves,117,19,272
2295,Yellow Bell Pepper,83,4,617
2301,Beef Loin Porterhouse Steak,122,12,2429
2305,Baby Persian Cucumbers,123,4,5881
2309,Organic Ground Flaxseed,47,11,486
2315,Pullman Green Leaf Salad,123,4,1156
2320,Original Sambucus Elderberry Syrup,47,11,1436
2321,Orange Halo,24,4,672
2322,All American Classic Made with Non-GMO Soy Veggie Burgers,42,1,5976
2330,Prostate +,47,11,675
2331,Complete Omega Lemon Softgels,47,11,5659
2332,Low Carb Whole Wheat Large Tortillas,128,3,5305
2365,Boneless Whole Pork Chops,112,3,184
2379,Simply 100 Key Lime Blended Non-Fat Greek Yogurt,120,16,2242
2382,Organic Eggnog,84,16,361
2383,Vegan Made with Non-GMO Soy Soy Protein Burgers,42,1,6415
2389,Breakfast Hot & Spicy Sausage Patties,42,1,2275
2400,100% Pure Evening Primrose Oil,47,11,3384
2413,Carmel Apple Crisp Twist,120,16,799
2418,Gluten Free Greek Plain Yogurt,120,16,2242
2425,Light Tuna Chunk In Water,95,15,2863
2428,Half Time Turkey Breast & American Cheese,96,20,6927
2433,Meyer Lemons,24,4,146
2446,Orange Cauliflower,83,4,1720
2447,3 lb Clementines,123,4,675
2449,"Tri Fun Pack Fruit Loops, Cocoa Krispies; Apple Jacks",121,14,4571
2453,Greek Style Kefir,120,16,1500
2461,Crumbles Gorgonzola Cheese,2,16,1021
2469,Italian Salad Blend,123,4,697
2471,Organic Kale Combo,123,4,268
2473,West Soymilk,91,16,361
2502,Sundried Tomato & Basil Spreadable Cheese,2,16,2927
2503,Usda Prime Beef Top Sirloin Steak,122,12,2429
2504,"Bread, Watsonville Sourdough",112,3,1071
2513,Steam In Bag Broccoli & Cauliflower,123,4,5053
2519,Rice Krispies Cereal,121,14,555
2526,"Peanuts, Extra Large Gourmet Virginia, Salted",117,19,5280
2535,Shaved Parmesan,2,16,604
2543,Crispy Rice Cereal,121,14,1183
2555,Bread Bohemian Style Rye Unseeded,112,3,6742
2568,Diced Yellow Onions,123,4,1227
2572,Hearth Baked Style Twin French Bread,112,3,2111
2588,Wild Wonders Medley Tomato,83,4,1796
2589,Three Grain Bread,112,3,295
2591,500 mg Vitamin C caplets,47,11,4859
2594,"Old World Gluten-Free Pizza Crust, Napoli Herb",128,3,3725
2601,Lean Boiled Ham,96,20,515
2605,Boiler Onions,83,4,132
2634,Cereal Frosted Flakes Chocolate Choco Zucaritas,121,14,5486
2639,Lemon Blended Non-Fat Greek Yogurt,120,16,2242
2643,Organic Bagged Kale Salad Mix,123,4,7336
2645,Made Super B-Complex Tablets,47,11,6960
2648,Black Lumpfish Caviar,95,15,2372
2652,Chocolate Blend Granola,57,14,2622
2653,"Chik'n Cutlets, Cranberry & Goats Cheese",42,1,1520
2662,Activated Quercetin,47,11,1261
2665,Triple Zero Chocolate Greek Yogurt,120,16,1056
2668,Whips! Strawberry Mist Yogurt Mousse,120,16,1144
2670,"Yogurt, Organic, Lowfat, Plain",120,16,811
2693,The Big 16 Grain Sprouted Whole Grain Bread,112,3,3794
2716,Organic Greek Lowfat Yogurt With Strawberries,120,16,2242
2719,"Salad, Chopped, Garden Vegetable",123,4,3453
2720,Whole Milk Yogurt,120,16,627
2738,Asian Chopped Salad,123,4,697
2743,Organic Almonds Sprouted In Orange Juice,117,19,850
2745,Strawberry Explosion/Banana Split Smoothie,120,16,4304
2748,Organic Reduced Fat Omega-3 Milk,84,16,6615
2757,Almond Cashew Unsweetened Almondmilk Cashewmilk Blend,91,16,4508
2758,Black Forest Ham Vacuum Pack,96,20,1867
2770,Brownberry Natural Wheat Bread,112,3,3318
2775,Vegan Celebration Roast,42,1,9
2780,Diced Red Onions,83,4,296
2781,Chipotle Lime Meat-Free Crispy Fingers,42,1,3950
2784,"Yogurt, Drinkable, Wild Blueberry",120,16,1223
2792,U Cubes Children's Multi Vitamin & Mineral Gummies,47,11,7293
2798,Shredded Four Cheese Blend,2,16,124
2806,Toasted Artisan Mix Granola,57,14,1929
2816,Wellness Herbal Resistance Liquid,47,11,862
2817,Liqui-Kelp Daily Iodine,47,11,291
2819,"Tulsi-Holy Basil, Vegetarian Capsules",47,11,6917
2832,Organic Quinoa Hot Cereal Flakes,121,14,4280
2837,Unflavored Arctic Cod Liver Oil,47,11,5407
2839,Original Slices Pepperoni,96,20,3280
2846,Organic Green Onions,83,4,639
2847,50/50 Spring Mix And Baby Spinach,123,4,2881
2851,Rolled Fillets of Anchovies with Capers In Pure Olive Oil,95,15,5745
2853,Organic Blueberry Hemp Superfood Snack,117,19,6115
2855,Organic Good Seed Bread,112,3,615
2864,Freeze-Dried Asian Pear Crispy Fruit,117,19,1231
2869,Black Cherry 0% Fat Oikos Greek Yogurt,120,16,2867
2873,Vanilla Macadamia Milk,84,16,86
2886,Strawberry Raspberry Blended Greek Yogurt,120,16,1144
2899,Astragalus Supreme Extract,47,11,161
2904,USA Endive Lettuce,83,4,1176
2909,Sweet Baby Grains Organic Bread,112,3,2393
2911,Vitamin D3 Vegan 1000 IU,47,11,4859
2916,Gluten Free Seeds & Grains Bread,112,3,4326
2920,Aged Mahon,2,16,431
2959,Freeze Dried Crispy Cantaloupe,117,19,1294
2961,Pink Salmon,95,15,568
2962,"Milk, Reduced Fat, 2% Milkfat",84,16,8002
2965,Sliced Crimini Mushrooms,123,4,1995
2969,Gluten Free Plain Tortillas,128,3,5468
2979,Beyond Beef Beefy Crumble,42,1,2163
2982,Natural Health Nut 100% All Natural Bread,112,3,7491
2993,Spanish Padron Peppers,123,4,108
2998,Potatoes Yellow Organic Bag,123,4,1129
3002,Diced Celery & Onions,123,4,194
3019,Organic Boneless & Skinless Chicken Breast,83,4,4757
3036,Lacey Swiss Cheese,2,16,453
3059,Italian Bread Unseeded,112,3,1059
3066,Organic Balance Milk Protein Shake Dark Chocolate,91,16,6732
3068,White Pumpkin,83,4,672
3085,Cf Hny Almnd Granola 11,117,19,603
3091,Organic Minneola,24,4,2291
3094,Kale & Pinto Bean Pupusas,42,1,1050
3108,Original Lowfat Lemon Burst Yogurt,120,16,3679
3112,Watermelon Green Superfood Energy Supplement,47,11,1486
3120,Sweetango Apple,24,4,425
3126,Oreo Cookie n' Cream Yogurt,120,16,1144
3136,Flax Oil 1000 mg Softgels,47,11,3293
3141,Vitamin E 400 IU,47,11,4859
3166,Organic Vanilla Nonfat Yogurt,120,16,1056
3172,Organic California Veggie Burger,42,1,4135
3184,Deli Fresh Smoked Ham,96,20,4587
3188,Chayote,83,4,306
3192,Lean Ground Beef,122,12,515
3202,The Original Maraschino Cherries,123,4,2492
3204,Ignatia Amara 30 C,47,11,655
3207,Simply 100 Crunch Strawberry Chocolate Truffle Non-Fat Greek Yogurt,120,16,3031
3210,Blended Plain Yogurt,120,16,627
3214,Original Granola Cereal,121,14,2522
3225,Risin' Raisin Ancient Grains Cereal,121,14,1262
3230,Rich & Creamy Plain Yogurt,120,16,130
3236,Lemon Poppy Seed Muffins,117,19,900
3237,Watercress,83,4,479
3240,Lactose Free Tofu Vegetable Frozen Lasagna,42,1,2242
3243,Red Onions,83,4,639
3246,Organic Sweet Cream Honey Yogurt,120,16,1145
3257,Granola Pumpkin Spice Mix,57,14,1255
3264,"Muesli, Bircher (Unsweetened)",57,14,1461
3266,Organic Rainbow Chard Bunch,83,4,268
3271,Bar-B-Q Jumbo Sunflower Seeds Roasted & Salted,117,19,4841
3281,Russet Potatoes Bag,83,4,89
3302,Glazed Ham,96,20,656
3307,Maple Flavored Sausage Patties,42,1,4111
3309,Challah Bread Loaf,112,3,1071
3312,Deluxe Pistachio Mix Mixed Nuts,117,19,1255
3315,7 Whole Grain Flakes Cereal,121,14,5305
3318,Cinnamon Swirl Raisin Bread,112,3,4065
3339,Organic Russet Potato Bag,123,4,1139
3343,Toasted Wheat Germ,121,14,1007
3346,Cashew Chocolate Milk,91,16,1304
3347,Dairy Free 5X Protein Almond Plus Vanilla Almond Milk,91,16,6732
3355,Goldfish 9ct Wg Cheddar,2,16,1927
3363,Tuna Fillets In Garlic Olive Oil,95,15,4731
3372,"Original Unsweetened Coconut, Almond, and Chia Drink",91,16,6388
3382,Organic Eggplant,83,4,2
3390,Papaya,24,4,615
3393,Apple Cheese Pretzel,123,4,130
3400,Flip Pumpkin Harvest Crisp Lowfat Greek Yogurt,120,16,2242
3409,Total Raisin Bran Cereal,121,14,602
3421,Quark Peach,120,16,608
3436,Egg Substitute,86,16,515
3444,Grape Jammers,123,4,799
3457,Swedish Style Non-Fat Drinkable Yogurt Plain,120,16,1223
3458,Flip Greek Yogurt Tropical Escape,120,16,3357
3464,"Organic Butterhead (Boston, Butter, Bibb) Lettuce",83,4,4936
3476,Authentic French Sliced Brioche,112,3,3078
3477,"Fruit & Veggie 1,2,3",121,14,7300
3481,Pineapple,24,4,615
3484,Ham And Cheese Style Pocket,42,1,89
3493,Baby Red Potatoes,83,4,453
3513,Organic Blueberry,24,4,615
3525,"Organic Icelandic, Nonfat, Blueberry Yogurt",120,16,2242
3534,Comprehensive Immune Support,47,11,213
3552,"Bologna, German Brand",96,20,474
3561,Flat Fillets of Anchovies,95,15,3073
3566,All Natural Hemp Original Non Dairy Beverage,91,16,5284
3579,Home Style Beefless Tips,42,1,1777
3582,Organic Ground Chia Seed,117,19,1181
3583,Unsweetened Coconut Milk Beverage,84,16,6018
3594,Milk Whole,84,16,615
3598,Organic White Button Mushrooms,83,4,1170
3602,Cherry Juice Infused Craisins,117,19,349
3610,Graziers Raw Jalapeño Jack Cheese,2,16,1450
3614,Foldit 5 Grain Flax Flatbread,128,3,6486
3630,Protein Granola Apple Crisp,57,14,326
3631,Organic Whole Milk French Vanilla Yogurt,120,16,1145
3633,White Eggplant,83,4,18
3637,Mandarin Box,24,4,672
3650,Calabrese Spicy Salami,96,20,70
3662,Smoked Shaved White Turkey,96,20,60
3663,Mango Coconut Chia Squeeze Vitality Snack,117,19,3388
3673,Cranberry Walnut Salad,123,4,1156
3687,Organic Mini Cucumber,83,4,1260
3699,"Chard, Green, New England Grown",83,4,174
3710,Activia Greek Nonfat Yogurt Blueberry,120,16,3650
3720,Golden Delicious Apples,24,4,1191
3725,Salted Caramel Peanuts,117,19,490
